input_bit,output_bit,probability
0,768,0.515625
0,769,0.523438
0,770,0.521484
0,771,0.472656
0,772,0.496094
0,773,0.541016
0,774,0.505859
0,775,0.541016
0,776,0.486328
0,777,0.505859
0,778,0.496094
0,779,0.527344
0,780,0.496094
0,781,0.474609
0,782,0.511719
0,783,0.503906
0,784,0.527344
0,785,0.490234
0,786,0.476562
0,787,0.462891
0,788,0.474609
0,789,0.519531
0,790,0.507812
0,791,0.550781
0,792,0.482422
0,793,0.455078
0,794,0.492188
0,795,0.480469
0,796,0.537109
0,797,0.501953
0,798,0.496094
0,799,0.513672
0,800,0.517578
0,801,0.505859
0,802,0.486328
0,803,0.513672
0,804,0.486328
0,805,0.486328
0,806,0.503906
0,807,0.470703
0,808,0.496094
0,809,0.480469
0,810,0.505859
0,811,0.503906
0,812,0.507812
0,813,0.488281
0,814,0.480469
0,815,0.470703
0,816,0.523438
0,817,0.533203
0,818,0.484375
0,819,0.470703
0,820,0.521484
0,821,0.519531
0,822,0.500000
0,823,0.484375
0,824,0.523438
0,825,0.478516
0,826,0.515625
0,827,0.511719
0,828,0.480469
0,829,0.496094
0,830,0.503906
0,831,0.511719
0,832,0.464844
0,833,0.517578
0,834,0.488281
0,835,0.505859
0,836,0.505859
0,837,0.527344
0,838,0.488281
0,839,0.513672
0,840,0.494141
0,841,0.509766
0,842,0.457031
0,843,0.474609
0,844,0.527344
0,845,0.507812
0,846,0.501953
0,847,0.539062
0,848,0.496094
0,849,0.480469
0,850,0.492188
0,851,0.505859
0,852,0.507812
0,853,0.482422
0,854,0.478516
0,855,0.529297
0,856,0.564453
0,857,0.490234
0,858,0.498047
0,859,0.474609
0,860,0.513672
0,861,0.494141
0,862,0.492188
0,863,0.498047
0,864,0.519531
0,865,0.517578
0,866,0.464844
0,867,0.494141
0,868,0.513672
0,869,0.544922
0,870,0.509766
0,871,0.498047
0,872,0.470703
0,873,0.507812
0,874,0.501953
0,875,0.513672
0,876,0.486328
0,877,0.480469
0,878,0.464844
0,879,0.486328
0,880,0.511719
0,881,0.500000
0,882,0.482422
0,883,0.501953
0,884,0.511719
0,885,0.539062
0,886,0.488281
0,887,0.519531
0,888,0.490234
0,889,0.468750
0,890,0.472656
