bit,probability_one
614,0.483398
615,0.491211
616,0.475586
617,0.501953
618,0.482422
619,0.492188
620,0.493164
621,0.510742
622,0.502930
623,0.495117
624,0.486328
625,0.477539
626,0.524414
627,0.482422
628,0.511719
629,0.481445
630,0.517578
631,0.489258
632,0.472656
633,0.488281
634,0.505859
635,0.495117
636,0.532227
637,0.513672
638,0.513672
639,0.481445
640,0.527344
641,0.504883
642,0.510742
643,0.483398
644,0.505859
645,0.490234
646,0.507812
647,0.485352
648,0.457031
649,0.499023
650,0.496094
651,0.499023
652,0.465820
653,0.494141
654,0.498047
655,0.489258
656,0.524414
657,0.509766
658,0.472656
659,0.521484
660,0.502930
661,0.499023
662,0.465820
663,0.493164
664,0.483398
665,0.494141
666,0.516602
667,0.526367
668,0.507812
669,0.496094
670,0.500000
671,0.484375
672,0.509766
673,0.481445
674,0.477539
675,0.487305
676,0.485352
677,0.508789
678,0.476562
679,0.484375
680,0.526367
681,0.507812
682,0.497070
683,0.496094
684,0.502930
685,0.506836
686,0.491211
687,0.551758
688,0.489258
689,0.485352
690,0.501953
691,0.499023
692,0.524414
693,0.532227
694,0.504883
695,0.498047
696,0.500977
697,0.504883
698,0.492188
699,0.502930
700,0.493164
701,0.503906
702,0.479492
703,0.498047
704,0.493164
705,0.516602
706,0.504883
707,0.516602
708,0.469727
709,0.501953
710,0.498047
711,0.494141
712,0.491211
713,0.485352
714,0.500000
715,0.519531
716,0.536133
717,0.490234
718,0.478516
719,0.513672
720,0.512695
721,0.469727
722,0.463867
723,0.489258
724,0.504883
725,0.484375
726,0.460938
727,0.511719
728,0.502930
729,0.488281
730,0.502930
731,0.487305
732,0.493164
733,0.499023
734,0.514648
735,0.466797
736,0.498047
737,0.488281
738,0.500977
739,0.499023
740,0.503906
741,0.492188
742,0.517578
743,0.514648
744,0.514648
745,0.523438
746,0.503906
747,0.514648
748,0.504883
749,0.505859
750,0.489258
751,0.474609
752,0.485352
753,0.483398
754,0.503906
755,0.498047
756,0.459961
757,0.513672
758,0.485352
759,0.488281
760,0.483398
761,0.510742
762,0.497070
763,0.505859
764,0.512695
765,0.513672
766,0.528320
767,0.489258
768,0.466797
